LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
41;149190210;SUCHA BESKIDZKA;Skawa (2134);49 44 22;19 36 31;
42;149190220;SKAWICA DOLNA;Skawica (21344);49 41 10;19 39 49;
43;149190230;CZERNICHÓW-PROM;Wisła (2);49 58 53;19 39 47;
44;149190250;JABŁONKA;Piekielnik (82224);49 28 20;19 41 43;
45;149190260;OSIELEC;Skawa (2134);49 41 00;19 44 21;
46;149190270;RADZISZÓW;Skawinka (21356);49 56 24;19 48 32;
47;149190280;KONIÓWKA;Dunajec (214);49 23 44;19 49 05;
48;149190290;JORDANÓW;Skawa (2134);49 38 11;19 49 48;
49;149190300;KOŚCIELISKO-KIRY;Kirowa Woda (214112);49 16 33;19 52 05;
50;149190310;STRÓŻA;Raba (2138);49 47 49;19 55 29;
51;149190320;ZAKOPANE-DOL.STRĄŻYSKA;Młyniska (214122);49 16 34;19 56 08;
52;149190340;RABKA 2;Raba (2138);49 36 49;19 56 56;
53;149190350;KRZCZONÓW;Krzczonówka (213836);49 44 12;19 57 14;
54;149190360;LUDŹMIERZ ;Lepietnica (2141156);49 28 07;19 58 32;
55;149190370;LUBIEŃ;Lubieńka (213834);49 43 11;19 58 42;
56;149190380;ZAKOPANE-HARENDA;Biały Dunajec (21412);49 18 58;19 58 39;
57;149190390;LUDŹMIERZ;Wielki Rogoźnik (214116);49 27 34;19 59 12;
58;149190480;Zembrzyce;Paleczka (2134732);49 46 20;19 37 00;
59;149190490;Bystra 2;Bystrzanka (21342);49 39 06;19 47 01;
60;149190500;Rzyki;Wieprzówka (21348);49 49 25;19 22 36;
61;149190510;Brody;Cedron (213568);49 51 59;19 41 41;
62;149200010;PORONIN;Poroniec (214128);49 20 14;20 00 11;
63;149200020;SZAFLARY;Biały Dunajec (21412);49 25 27;20 01 29;
64;149200030;NOWY TARG;Dunajec (214);49 29 04;20 01 52;
65;149200040;KASINKA MAŁA;Raba (2138);49 42 17;20 01 57;
66;149200050;NOWY TARG-KOWANIEC;Dunajec (214);49 29 13;20 03 13;
67;149200060;MSZANA DOLNA;Raba (2138);49 39 29;20 03 33;
68;149200080;MSZANA DOLNA;Mszanka (21382);49 40 29;20 04 46;
69;149200090;DOBCZYCE;Raba (2138);49 53 01;20 05 10;
70;149200100;ŁYSA POLANA;Białka (214154);49 15 49;20 06 54;
71;149200110;TRYBSZ 2;Białka (214154);49 25 04;20 07 03;
72;149200120;NIEDZICA;Niedziczanka (214172);49 24 41;20 18 08;
73;149200130;STRADOMKA;Stradomka (21388);49 55 14;20 18 30;
74;149200140;SROMOWCE WYŻNE;Dunajec (214);49 24 02;20 21 14;
75;149200150;TYLMANOWA;Ochotnica (2141976);49 31 02;20 23 13;
76;149200160;KROŚCIENKO;Dunajec (214);49 26 30;20 25 46;
77;149200170;PROSZÓWKI;Raba (2138);49 59 47;20 26 18;
78;149200180;SZCZAWNICA;Grajcarek (214196);49 25 13;20 29 36;
79;149200190;GOŁKOWICE;Dunajec (214);49 32 59;20 34 12;
80;149200200;JAKUBKOWICE;Łososina (214734);49 44 22;20 37 48;
81;149200220;STARY SĄCZ;Poprad (2142);49 34 07;20 39 35;
